AÑO;FECHA;CL#;TIPO DE CAJA;CONTAINERS
2025;1/1/2025;ME005;208;6
2025;1/1/2025;ME008;208;6
2025;1/1/2025;ME010;22XU;3
2025;1/1/2025;ME005;208;6
2025;1/1/2025;ME008;208;6
2025;1/1/2025;ME010;22XU;3
2025;1/1/2025;ME005;208;5
2025;1/1/2025;ME006;22XU;2
2025;1/1/2025;ME008;208;6
2025;1/1/2025;ME010;22XU;2
2025;1/1/2025;ME012;22XU;2
2025;1/1/2025;ME005;208;4
2025;1/1/2025;ME006;22XU;2
2025;1/1/2025;ME008;208;6
2025;1/1/2025;ME010;22XU;2
2025;1/1/2025;ME012;22XU;2
2025;1/2/2025;ME005;208;4
2025;1/2/2025;ME006;22XU;2
2025;1/2/2025;ME008;208;6
2025;1/2/2025;ME010;22XU;3
2025;1/2/2025;ME012;22XU;2
2025;1/2/2025;ME013;22XU;9
2025;1/2/2025;ME006;22XU;2
2025;1/2/2025;ME008;208;10
2025;1/2/2025;ME010;22XU;3
2025;1/2/2025;ME012;22XU;2
2025;1/2/2025;ME013;22XU;10
2025;1/2/2025;ME002;22XU;1
2025;1/2/2025;ME004;22XU;1
2025;1/2/2025;ME005;208;2
2025;1/2/2025;ME006;22XU;3
2025;1/2/2025;ME008;208;12
2025;1/2/2025;ME010;22XU;3
2025;1/2/2025;ME012;22XU;2
2025;1/2/2025;ME002;22XU;1
2025;1/2/2025;ME004;22XU;1
2025;1/2/2025;ME005;208;2
2025;1/2/2025;ME006;22XU;3
2025;1/2/2025;ME008;208;12
2025;1/2/2025;ME010;22XU;3
2025;1/2/2025;ME012;22XU;2
2025;1/3/2025;ME002;22XU;1
2025;1/3/2025;ME004;22XU;1
2025;1/3/2025;ME005;208;2
2025;1/3/2025;ME006;22XU;3
2025;1/3/2025;ME008;208;12
2025;1/3/2025;ME010;22XU;3
2025;1/3/2025;ME012;22XU;2
2025;1/3/2025;ME005;208;2
2025;1/3/2025;ME006;22XU;4
2025;1/3/2025;ME008;208;12
2025;1/3/2025;ME010;22XU;3
2025;1/3/2025;ME012;22XU;3
2025;1/3/2025;ME005;208;2
2025;1/3/2025;ME006;22XU;3
2025;1/3/2025;ME008;208;12
2025;1/3/2025;ME010;22XU;3
2025;1/3/2025;ME012;22XU;3
2025;1/3/2025;ME005;208;2
2025;1/3/2025;ME006;22XU;2
2025;1/3/2025;ME008;208;12
2025;1/3/2025;ME010;22XU;5
2025;1/3/2025;ME012;22XU;2
2025;1/3/2025;ME014;208;5
2025;1/3/2025;ME014;22XU;10
2025;1/4/2025;ME005;208;2
2025;1/4/2025;ME006;22XU;2
2025;1/4/2025;ME008;208;12
2025;1/4/2025;ME010;22XU;5
2025;1/4/2025;ME012;22XU;2
2025;1/4/2025;ME005;208;2
2025;1/4/2025;ME006;22XU;2
2025;1/4/2025;ME008;208;12
2025;1/4/2025;ME010;22XU;5
2025;1/4/2025;ME012;22XU;2
2025;1/4/2025;ME014;208;5
2025;1/4/2025;ME014;22XU;15
2025;1/4/2025;ME005;208;2
2025;1/4/2025;ME006;22XU;2
2025;1/4/2025;ME008;208;11
2025;1/4/2025;ME010;22XU;5
2025;1/4/2025;ME012;22XU;2
2025;1/4/2025;ME014;208;5
2025;1/4/2025;ME014;22XU;15
2025;1/4/2025;ME005;208;5
2025;1/4/2025;ME008;208;11
2025;1/4/2025;ME011;208;4
2025;1/4/2025;ME014;208;5
2025;1/4/2025;ME014;22XU;14
2025;1/4/2025;ME005;208;5
2025;1/4/2025;ME006;22XU;2
2025;1/4/2025;ME008;208;7
2025;1/4/2025;ME011;208;4
2025;1/5/2025;ME008;208;5
2025;1/5/2025;ME001;208;7
2025;1/5/2025;ME001;22XU;1
2025;1/5/2025;ME005;208;7
2025;1/5/2025;ME006;22XU;4
2025;1/5/2025;ME011;208;1
2025;1/5/2025;ME012;22XU;3
2025;1/5/2025;ME001;208;7
2025;1/5/2025;ME001;22XU;1
2025;1/5/2025;ME005;208;7
2025;1/5/2025;ME006;22XU;3
2025;1/5/2025;ME012;22XU;4
2025;1/5/2025;ME001;208;7
2025;1/5/2025;ME001;22XU;1
2025;1/5/2025;ME005;208;6
