YEAR;WEEK;C_Q;QUANTITY;CONTAINER_TYPE;BOX_TYPE;ESTIBA;PUERTO;BRAND;SHIPPING_LINE;CONTAINER;BOOKING;DEPOT;CL#;DISCHARGE_PORT;SHIP
2025;2;1;1200;STARCARE;22XU;GRANEL;DPW;ZAIN;MAERSK;MCAU6017345;248696738;OPA POSORJA;ME010;UMM QASR;JPO LIBRA 502E
2025;2;1;1540;STARCARE;208;GRANEL;DPW;ZAIN;MAERSK;MMAU1439203;248696775;OPA POSORJA;ME005;KUWAIT;JPO LIBRA 502E
2025;2;1;1540;ESTANDAR;208;GRANEL;DPW;ZAIN;MAERSK;MNBU3769097;248696856;OPA SUR;ME008;JEDDAH;JPO LIBRA 502E
2025;2;1;1540;ESTANDAR;208;GRANEL;DPW;ZAIN;MAERSK;MNBU3957026;248696856;OPA SUR;ME008;JEDDAH;JPO LIBRA 502E
2025;2;1;1540;ESTANDAR;208;GRANEL;DPW;ZAIN;MAERSK;MNBU3291747;248696856;OPA SUR;ME008;JEDDAH;JPO LIBRA 502E
2025;2;1;1540;ESTANDAR;208;GRANEL;DPW;ZAIN;MAERSK;TLLU1201691;248696856;OPA SUR;ME008;JEDDAH;JPO LIBRA 502E
2025;2;1;1540;ESTANDAR;208;GRANEL;DPW;ZAIN;MAERSK;MNBU0137450;248696856;OPA SUR;ME008;JEDDAH;JPO LIBRA 502E
2025;2;1;1200;STARCARE;22XU;GRANEL;DPW;ZAIN;MAERSK;MCAU6044314;248696738;OPA POSORJA;ME010;UMM QASR;JPO LIBRA 502E
2025;2;1;1540;STARCARE;208;GRANEL;DPW;ZAIN;MAERSK;MCAU6049656;248696775;OPA POSORJA;ME005;KUWAIT;JPO LIBRA 502E
2025;2;1;1540;STARCARE;208;GRANEL;DPW;ZAIN;MAERSK;MCAU6009801;248696775;OPA POSORJA;ME005;KUWAIT;JPO LIBRA 502E
2025;2;1;1540;STARCARE;208;GRANEL;DPW;ZAIN;MAERSK;MCAU6045882;248696775;OPA POSORJA;ME005;KUWAIT;JPO LIBRA 502E
2025;2;1;1540;STARCARE;208;GRANEL;DPW;ZAIN;MAERSK;MCAU6048264;248696775;OPA POSORJA;ME005;KUWAIT;JPO LIBRA 502E
2025;2;1;1540;ESTANDAR;208;GRANEL;DPW;ZAIN;MAERSK;MNBU0515294;248696856;OPA SUR;ME008;JEDDAH;JPO LIBRA 502E
